ktax.id	tax.id	kegg.code	scientific.name	common.name	entrez.gnodes	kegg.geneid	ncbi.geneid	ncbi.proteinid	uniprot
T01959	1587	lhl	Lactobacillus helveticus H10		0	LBHH_2010	NA	ADX71175	F0NS81
T02217	1587	lhr	Lactobacillus helveticus R0052		0	R0052_11425	NA	AFR22969	NA
T02744	1587	lhv	Lactobacillus helveticus CNRZ32		0	lhe_1905	NA	AGQ24287	A4ZH13
T03040	1587	lhh	Lactobacillus helveticus H9		0	LBH_0836	NA	AHI11840	W5XFV5
T03777	1587	lhd	Lactobacillus helveticus KLDS1.8701		0	HUO_06255	NA	AJY61477	A0A0D5MIJ8
T01222	47770	lcr	Lactobacillus crispatus		0	LCRIS_00837	NA	CBL50284	D5H2P9
T01371	1604	lam	Lactobacillus amylovorus GRL 1112		0	LA2_10360	NA	ADQ59973	E4SNF4
T01436	1604	lai	Lactobacillus amylovorus 30SC		0	LAC30SC_06895	NA	ADZ07495	F0TFK1
T01954	1604	lay	Lactobacillus amylovorus GRL1118		0	LAB52_03035	NA	AEA31581	F2LYA6
T01526	267818	lke	Lactobacillus kefiranofaciens subsp. kefiranofaciens		0	WANG_0733	NA	AEG40428	NA
T03355	1545702	law	Lactobacillus sp. wkB8		0	LACWKB8_0185	NA	AIS08501	NA
T03976	1600	lae	Lactobacillus acetotolerans		0	LBAT_1641	NA	BAQ58030	A0A0D6A6F7
T04115	52242	lgl	Lactobacillus gallinarum		0	AO203_01715	NA	ALJ24355	A0A0P0DV24
T04677	109790	lje	Lactobacillus jensenii		0	BUE77_00920	NA	APT14054	A0A5N1IEY2
T05057	83683	lamy	Lactobacillus amylolyticus		0	B1745_06830	NA	ARD07306	A0A1V0JEM5
T05840	2107999	lpw	Lactobacillus paragasseri		0	LpgJCM5343_14720	NA	BBD49119	NA
T06382	1218493	lkl	Lactobacillus kullabergensis		0	DKL58_00360	NA	AWM74549	A0A2Z3HPD6
T06844	303541	lapi	Lactobacillus apis		0	DKL56_06530	NA	AWM74175	NA
T06906	1218494	lhs	Lactobacillus helsingborgensis		0	DLD54_07550	NA	AWN34030	A0A0F4LW24
T07177	508451	lta	Lactobacillus taiwanensis		0	H1A07_03145	NA	QTQ40486	NA
T07197	227945	luu	Lactobacillus ultunensis		0	H4B44_01415	NA	QQP28789	NA
T07602	2012495	lpai	Lactobacillus panisapium		0	GYM71_05305	NA	QYN52866	A0A8G0AEG5
T08045	147802	lid	Lactobacillus iners		0	GYK47_05545	NA	QIC18834	NA
T00407	1597	lca	Lacticaseibacillus paracasei ATCC 334		0	LSEI_0122	NA	ABJ68986	Q03CT6
T01280	1597	lcz	Lacticaseibacillus paracasei Zhang		0	LCAZH_1966	NA	ADK19177	A0A0K1MVF0
T01955	1597	lcs	Lactobacillus paracasei BD-II		0	LCBD_0997	NA	AEA56495	A0A806E1U5
T01956	1597	lce	Lactobacillus paracasei LC2W		0	LC2W_2642	NA	AEA54972	A0A5Q8BP95
T02337	1597	lcw	Lacticaseibacillus paracasei W56		0	BN194_12510	NA	CCK22198	A0A1S2AWK7
