category	subcategory	pathway
Metabolism	Global and overview maps	01100 Metabolic pathways
Metabolism	Global and overview maps	01110 Biosynthesis of secondary metabolites
Metabolism	Global and overview maps	01120 Microbial metabolism in diverse environments
Metabolism	Global and overview maps	01200 Carbon metabolism
Metabolism	Global and overview maps	01210 2-Oxocarboxylic acid metabolism
Metabolism	Global and overview maps	01212 Fatty acid metabolism
Metabolism	Global and overview maps	01230 Biosynthesis of amino acids
Metabolism	Global and overview maps	01232 Nucleotide metabolism
Metabolism	Global and overview maps	01250 Biosynthesis of nucleotide sugars
Metabolism	Global and overview maps	01240 Biosynthesis of cofactors
Metabolism	Global and overview maps	01220 Degradation of aromatic compounds
Metabolism	Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis
Metabolism	Carbohydrate metabolism	00020 Citrate cycle (TCA cycle)
Metabolism	Carbohydrate metabolism	00030 Pentose phosphate pathway
Metabolism	Carbohydrate metabolism	00040 Pentose and glucuronate interconversions
Metabolism	Carbohydrate metabolism	00051 Fructose and mannose metabolism
Metabolism	Carbohydrate metabolism	00052 Galactose metabolism
Metabolism	Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism
Metabolism	Carbohydrate metabolism	00500 Starch and sucrose metabolism
Metabolism	Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism
Metabolism	Carbohydrate metabolism	00620 Pyruvate metabolism
Metabolism	Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism
Metabolism	Carbohydrate metabolism	00640 Propanoate metabolism
Metabolism	Carbohydrate metabolism	00650 Butanoate metabolism
Metabolism	Carbohydrate metabolism	00660 C5-Branched dibasic acid metabolism
Metabolism	Carbohydrate metabolism	00562 Inositol phosphate metabolism
Metabolism	Energy metabolism	00190 Oxidative phosphorylation
Metabolism	Energy metabolism	00195 Photosynthesis
Metabolism	Energy metabolism	00196 Photosynthesis - antenna proteins
Metabolism	Energy metabolism	00710 Carbon fixation in photosynthetic organisms
Metabolism	Energy metabolism	00720 Carbon fixation pathways in prokaryotes
Metabolism	Energy metabolism	00680 Methane metabolism
Metabolism	Energy metabolism	00910 Nitrogen metabolism
Metabolism	Energy metabolism	00920 Sulfur metabolism
Metabolism	Lipid metabolism	00061 Fatty acid biosynthesis
Metabolism	Lipid metabolism	00062 Fatty acid elongation
Metabolism	Lipid metabolism	00071 Fatty acid degradation
Metabolism	Lipid metabolism	00073 Cutin, suberine and wax biosynthesis
Metabolism	Lipid metabolism	00100 Steroid biosynthesis
Metabolism	Lipid metabolism	00120 Primary bile acid biosynthesis
Metabolism	Lipid metabolism	00121 Secondary bile acid biosynthesis
Metabolism	Lipid metabolism	00140 Steroid hormone biosynthesis
Metabolism	Lipid metabolism	00561 Glycerolipid metabolism
Metabolism	Lipid metabolism	00564 Glycerophospholipid metabolism
Metabolism	Lipid metabolism	00565 Ether lipid metabolism
Metabolism	Lipid metabolism	00600 Sphingolipid metabolism
Metabolism	Lipid metabolism	00590 Arachidonic acid metabolism
Metabolism	Lipid metabolism	00591 Linoleic acid metabolism
Metabolism	Lipid metabolism	00592 alpha-Linolenic acid metabolism
