gcrpathway	4082 6616 356 355 1616 8772 11124 843 6844 6670 6667 4174 7832 8767 2767 6804 2792 186 183 2782 5170 25942 10036 8208 NA 3219
achpathway	5170 4352 25942 4174 4914
p53hypoxiapathway	2779 2782 2793 2978 5216 NA 8394 8395 7094 7414 79751 10846
hifpathway	NA 4353 241 9451 27102 57105 10800 8894 8893 1968 1965 27104 5540
ppargpathway	5970 NA 6195 4583
raccycdpathway	NA 4040 8321 6256 5468 85409 4286 2033 4174 5689 27123 79412 5901 6622 10461 1813 2908 5170 1457 25942 11197 1499 5903 8021 23225 23636 9972
ranmspathway	NA 3827 351
cacampathway	NA 718 23411
reelinpathway	NA 720 727 7430
caspasepathway	NA
tpopathway	4001 4303 1910 NA 4000 2554 2555 2556 2557 2558 2559 10243 5921 2113 84823 6709 6597 2934 2308 1017 8900 393 919 3122 920 3932 6955 6957 917 916 915 3123
agpcrpathway	
arappathway	
rnapol3pathway	55567 1764 1765 NA
relapathway	NA 7031 3665 3664 7032 7033
eifpathway	
tsp1pathway	NA 4804 985 984
il3pathway	NA 3552 3554 3556 4615 54472 3315 8809 2119 3594 3595 7297 3717 3553
flumazenilpathway	3043 NA 9049 196 3320 2623 51327
ccr5pathway	6597
cblpathway	839 840 841
alkpathway	
g1pathway	23225 185 23621 5663 1314 1212 1313 1211 4780 NA 2776 183 580 3725 1386 102 9817 10621 8574 375
wnvpathway	NA 23764 7409 3122
wntlrp6pathway	2911 NA 1453
igf1pathway	4094 1910 2554 2555 2556 2557 2558 2559 10243 NA 11337 8125 7157 4193 4905 29979 3569 3570 10128 1017 8900 393 3726 3596
gspathway	2908 NA 10914
erk5pathway	116379 50616 4174 5170 25942
rarrxrpathway	836 837 835
barrestinsrcpathway	
bcellsurvivalpathway	5170 25942 4174 993
circadianpathway	
rarpathway	838 840 839
biopeptidespathway	3604 5170
skp2e2fpathway	NA 2168 336 9612 335
hsp27pathway	2113 2114 23764 2902 NA 11218 1435 1436 4441 2117 5801 9612 4914 1874 5933 5934 1869 2872 2353 3725
soddpathway	6256 NA 10461
ctbp1pathway	
ranklpathway	5528 324 8312 85409 NA 4904 5156 5154 317 842 6622 1855 7073 54205 1499
il4pathway	116379 50616 3587 7297 3557 58985 3716 3556 3558 3559 3718 6850 3561 3560 3932 NA
extrinsicpathway	7791 196 3320 9049
ahsppathway	
g2pathway	598 581 572 596 2175 2176 2178 2188 2189 2177 NA 4683 5883 675 672 580 7533 3563 1439 5884 7161 10111 5810 4361 3562 5932 5888 3364
vifpathway	5594 NA 5595 5606 999 5608
dicerpathway	
insulinpathway	331 329 330 10128 3569 9111 2033 1387 3570 5170 2556
nkcellspathway	NA 7317 5683 5685 5689 5690 5682 5691 5692 5693 5694 5695 5709 5718 5717 10213 6184 6185 5710 5684 5686 5687 5688
cell2cellpathway	NA
hoppathway	NA 2066 4914
hespathway	5733 5731 5734 5737 914 919 1453 1399 4214 5739 5732 9536 NA 2911
prionpathway	4087 4092 6885 10454 1387 2033 4089 7182 56909
