# Converted from egSymb.rda
# Total elements extracted: 81569

Index	Value	Type
347	100126340	data
348	100126341	data
349	100126342	data
350	100126343	data
351	100126344	data
352	100126345	data
353	100126346	data
354	100126347	data
355	100126348	data
356	100126349	data
357	100126350	data
358	100126351	data
359	100126352	data
360	100126354	data
361	100126355	data
362	100126356	data
363	100126446	data
364	100126447	data
365	100126448	data
366	100126474	data
367	100126475	data
368	100126476	data
369	100126477	data
370	100126479	data
371	100126480	data
372	100126481	data
373	100126482	data
374	100126483	data
375	100126484	data
376	100126485	data
377	100126487	data
378	100126488	data
379	100126489	data
380	100126491	data
381	100126492	data
382	100126493	data
383	100126495	data
384	100126496	data
385	100126497	data
386	100126499	data
387	100126500	data
388	100126501	data
389	100126503	data
390	100126504	data
391	100126505	data
392	100126506	data
393	100126508	data
394	100126509	data
395	100126510	data
396	100126511	data
397	100126512	data
398	100126513	data
399	100126514	data
400	100126516	data
401	100126517	data
402	100126518	data
403	100126520	data
404	100126521	data
405	100126522	data
406	100126523	data
407	100126524	data
408	100126526	data
409	100126527	data
410	100126529	data
411	100126531	data
412	100126532	data
413	100126533	data
414	100126534	data
415	100126536	data
416	100126572	data
417	100126582	data
418	100126583	data
419	100126584	data
420	100126593	data
421	100126594	data
422	100126595	data
423	100126596	data
424	100126597	data
425	100126691	data
426	100126693	data
427	100126780	data
428	100126781	data
429	100126784	data
430	100126791	data
431	100126793	data
432	100126794	data
433	100126798	data
434	100126799	data
435	100126800	data
436	100126822	data
437	100126825	data
438	100127050	data
439	100127173	data
440	100127206	data
441	100127881	data
442	100127883	data
443	100127884	data
444	100127885	data
445	100127886	data
446	100127887	data
447	100127888	data
448	100127889	data
449	100127890	data
450	100127891	data
451	100127892	data
452	100127893	data
453	100127894	data
454	100127895	data
455	100127897	data
456	100127898	data
457	100127899	data
458	100127900	data
459	100127901	data
460	100127902	data
461	100127903	data
462	100127904	data
463	100127905	data
464	100127906	data
465	100127907	data
466	100127908	data
467	100127909	data
468	100127910	data
469	100127911	data
470	100127912	data
471	100127913	data
472	100127914	data
473	100127915	data
474	100127917	data
475	100127918	data
476	100127919	data
477	100127920	data
478	100127922	data
479	100127923	data
480	100127924	data
481	100127925	data
482	100127929	data
483	100127930	data
484	100127931	data
485	100127933	data
486	100127934	data
487	100127936	data
488	100127937	data
489	100127938	data
490	100127940	data
491	100127942	data
492	100127944	data
493	100127945	data
494	100127946	data
495	100127947	data
496	100127948	data
497	100127949	data
498	100127950	data
499	100127951	data
500	100127952	data
501	100127953	data
502	100127954	data
503	100127955	data
504	100127958	data
505	100127960	data
506	100127961	data
507	100127962	data
508	100127963	data
509	100127964	data
510	100127965	data
511	100127967	data
512	100127969	data
513	100127971	data
514	100127972	data
515	100127973	data
516	100127974	data
517	100127975	data
518	100127976	data
519	100127977	data
520	100127978	data
521	100127979	data
522	100127980	data
523	100127981	data
524	100127982	data
525	100127983	data
526	100127984	data
527	100127985	data
528	100127986	data
529	100127987	data
530	100127988	data
531	100127989	data
532	100127991	data
533	100127992	data
534	100127993	data
535	100127994	data
536	100127995	data
537	100127996	data
538	100127997	data
539	100127998	data
540	100127999	data
541	100128001	data
542	100128002	data
543	100128003	data
544	100128004	data
545	100128006	data
546	100128007	data
547	100128008	data
548	100128009	data
549	100128010	data
550	100128011	data
551	100128012	data
552	100128013	data
553	100128014	data
554	100128015	data
555	100128016	data
556	100128017	data
557	100128019	data
558	100128020	data
559	100128021	data
560	100128022	data
561	100128023	data
562	100128024	data
563	100128025	data
564	100128026	data
565	100128027	data
566	100128028	data
567	100128029	data
568	100128030	data
569	100128031	data
570	100128032	data
571	100128033	data
572	100128034	data
573	100128035	data
574	100128036	data
575	100128038	data
576	100128039	data
577	100128040	data
578	100128041	data
579	100128042	data
580	100128043	data
581	100128044	data
582	100128045	data
583	100128046	data
584	100128048	data
585	100128050	data
586	100128051	data
587	100128052	data
588	100128054	data
589	100128055	data
590	100128056	data
591	100128057	data
592	100128059	data
593	100128060	data
594	100128061	data
595	100128062	data
596	100128063	data
597	100128064	data
598	100128065	data
599	100128066	data
600	100128067	data
601	100128068	data
602	100128069	data
603	100128071	data
604	100128072	data
605	100128074	data
606	100128075	data
607	100128076	data
608	100128077	data
609	100128078	data
610	100128079	data
611	100128081	data
612	100128082	data
613	100128083	data
614	100128084	data
615	100128085	data
616	100128086	data
617	100128088	data
618	100128090	data
619	100128091	data
620	100128092	data
621	100128093	data
622	100128094	data
623	100128095	data
624	100128096	data
625	100128098	data
626	100128100	data
627	100128101	data
628	100128102	data
629	100128103	data
630	100128104	data
631	100128105	data
632	100128106	data
633	100128107	data
634	100128108	data
635	100128109	data
636	100128110	data
637	100128111	data
638	100128113	data
639	100128115	data
640	100128116	data
641	100128117	data
642	100128118	data
643	100128119	data
644	100128120	data
645	100128121	data
646	100128122	data
647	100128123	data
648	100128124	data
649	100128125	data
650	100128126	data
651	100128127	data
652	100128129	data
653	100128130	data
654	100128131	data
655	100128132	data
656	100128134	data
657	100128135	data
658	100128136	data
659	100128137	data
660	100128138	data
661	100128139	data
662	100128140	data
663	100128141	data
664	100128142	data
665	100128144	data
666	100128145	data
667	100128146	data
668	100128147	data
669	100128149	data
670	100128150	data
671	100128151	data
672	100128153	data
673	100128154	data
674	100128155	data
675	100128156	data
676	100128157	data
677	100128159	data
678	100128160	data
679	100128161	data
680	100128162	data
681	100128163	data
682	100128164	data
683	100128166	data
684	100128168	data
685	100128169	data
686	100128170	data
687	100128171	data
688	100128172	data
689	100128173	data
690	100128174	data
691	100128175	data
692	100128176	data
693	100128177	data
694	100128178	data
695	100128179	data
696	100128180	data
697	100128181	data
698	100128182	data
699	100128183	data
700	100128184	data
701	100128185	data
702	100128186	data
703	100128187	data
704	100128188	data
705	100128189	data
706	100128190	data
707	100128191	data
708	100128196	data
709	100128197	data
710	100128198	data
711	100128199	data
712	100128201	data
713	100128202	data
714	100128203	data
715	100128204	data
716	100128206	data
717	100128208	data
718	100128209	data
719	100128210	data
720	100128211	data
721	100128213	data
722	100128214	data
723	100128215	data
724	100128217	data
725	100128218	data
726	100128219	data
727	100128220	data
728	100128221	data
729	100128222	data
730	100128223	data
731	100128224	data
732	100128225	data
733	100128226	data
734	100128227	data
735	100128228	data
736	100128230	data
737	100128232	data
738	100128233	data
739	100128234	data
740	100128235	data
741	100128236	data
742	100128237	data
743	100128238	data
744	100128239	data
745	100128240	data
746	100128242	data
747	100128244	data
748	100128245	data
749	100128247	data
750	100128248	data
751	100128250	data
752	100128252	data
753	100128253	data
754	100128254	data
755	100128255	data
756	100128256	data
757	100128258	data
758	100128259	data
759	100128260	data
760	100128261	data
761	100128262	data
762	100128263	data
763	100128264	data
764	100128265	data
765	100128266	data
766	100128267	data
767	100128268	data
768	100128269	data
769	100128270	data
770	100128272	data
771	100128274	data
772	100128275	data
773	100128276	data
774	100128277	data
775	100128278	data
776	100128279	data
777	100128281	data
778	100128282	data
779	100128283	data
780	100128284	data
781	100128285	data
782	100128286	data
783	100128288	data
784	100128291	data
785	100128292	data
786	100128293	data
787	100128294	data
788	100128295	data
789	100128296	data
790	100128297	data
791	100128298	data
792	100128299	data
793	100128300	data
794	100128302	data
795	100128304	data
796	100128305	data
797	100128307	data
798	100128308	data
799	100128309	data
800	100128310	data
801	100128311	data
802	100128312	data
803	100128313	data
804	100128314	data
805	100128315	data
806	100128316	data
807	100128317	data
808	100128318	data
809	100128319	data
810	100128320	data
811	100128321	data
812	100128322	data
813	100128323	data
814	100128324	data
815	100128325	data
816	100128326	data
817	100128327	data
818	100128328	data
819	100128329	data
820	100128332	data
821	100128333	data
822	100128334	data
823	100128335	data
824	100128336	data
825	100128337	data
826	100128338	data
827	100128339	data
828	100128340	data
829	100128341	data
830	100128342	data
831	100128343	data
832	100128345	data
833	100128346	data
834	100128347	data
835	100128348	data
836	100128349	data
837	100128351	data
838	100128353	data
839	100128354	data
840	100128355	data
841	100128356	data
842	100128358	data
843	100128360	data
844	100128361	data
845	100128362	data
846	100128364	data
847	100128365	data
848	100128366	data
849	100128367	data
850	100128368	data
851	100128370	data
852	100128371	data
853	100128372	data
854	100128373	data
855	100128374	data
856	100128377	data
857	100128378	data
858	100128379	data
859	100128380	data
860	100128381	data
861	100128382	data
862	100128383	data
863	100128384	data
864	100128385	data
865	100128386	data
866	100128390	data
867	100128392	data
868	100128393	data
869	100128394	data
870	100128395	data
871	100128396	data
872	100128397	data
873	100128398	data
874	100128399	data
875	100128400	data
876	100128401	data
877	100128402	data
878	100128403	data
879	100128404	data
880	100128405	data
881	100128406	data
882	100128407	data
883	100128408	data
884	100128410	data
885	100128411	data
886	100128412	data
887	100128413	data
888	100128414	data
889	100128415	data
890	100128416	data
891	100128417	data
892	100128418	data
893	100128420	data
894	100128422	data
895	100128423	data
896	100128425	data
897	100128427	data
898	100128428	data
899	100128429	data
900	100128430	data
901	100128431	data
902	100128432	data
903	100128433	data
904	100128434	data
905	100128435	data
906	100128437	data
907	100128438	data
908	100128439	data
909	100128440	data
910	100128441	data
911	100128442	data
912	100128443	data
913	100128444	data
914	100128448	data
915	100128449	data
916	100128450	data
917	100128451	data
