"gene_set","p.geomean","stat.mean","p.val","q.val","set.size","DCIS_1","DCIS_2","DCIS_3","DCIS_4","DCIS_5","DCIS_6"
"hsa04740 Olfactory transduction",0.685009967865594,-0.916168290650586,0.98679362926036,0.999999999971506,64,0.987386120921825,0.960712599419729,0.464031182729771,0.336773757156615,0.818380003081067,0.851648577103977
"hsa00590 Arachidonic acid metabolism",0.728793851272017,-0.935963865087686,0.988374166918001,0.999999999971506,46,0.975137871041943,0.909062638752867,0.371736397987286,0.934786630371898,0.631153372445805,0.770700926357435
"hsa04810 Regulation of actin cytoskeleton",0.783020656652423,-0.937386494581423,0.989041089299271,0.999999999971506,187,0.747611855160148,0.936190606709969,0.546932989340844,0.825005321650328,0.948964110804297,0.769056414736558
"hsa04670 Leukocyte transendothelial migration",0.690212816631745,-0.952520042218401,0.989889057788788,0.999999999971506,104,0.952600205486906,0.977830822182456,0.245825560843832,0.912512222885374,0.601662443468108,0.860013148920053
"hsa04340 Hedgehog signaling pathway",0.81925413245821,-0.991762272574633,0.992088325953975,0.999999999971506,45,0.903043592595678,0.897394303141059,0.763549923677613,0.689248006136992,0.916687415832495,0.77336692531516
"hsa04630 Jak-STAT signaling pathway",0.765839144782934,-0.994266039362604,0.99239087528545,0.999999999971506,130,0.965247558481779,0.967328386729526,0.474655219215849,0.877568855646448,0.768721918663624,0.674813860381327
"hsa04916 Melanogenesis",0.789959492680545,-1.02383933848923,0.99373376847793,0.999999999971506,89,0.510529958704389,0.970097626041572,0.914472716872073,0.743071308983015,0.917772113459081,0.786785153015494
"hsa00410 beta-Alanine metabolism",0.773710514046958,-1.06526637398214,0.994516936219558,0.999999999971506,20,0.483021710980261,0.934477632601332,0.972527327312437,0.908516087920737,0.600465701343859,0.895803567400067
"hsa04310 Wnt signaling pathway",0.745870151892486,-1.04584044171246,0.994643630769673,0.999999999971506,133,0.35782919952443,0.977431302390083,0.934548301478433,0.876102407788643,0.944847802499041,0.636354125406777
"hsa04512 ECM-receptor interaction",0.379151652513014,-1.08781264935213,0.99524218665857,0.999999999971506,77,0.0120724618800102,0.89856456282908,0.999677927224218,0.50127942596454,0.546542554071119,0.999927756675492
"hsa04640 Hematopoietic cell lineage",0.582819221133007,-1.07968164813715,0.995549773984704,0.999999999971506,78,0.997866784029145,0.976741251322607,0.0881845477039606,0.969653581067597,0.601615176611897,0.781669595787428
"hsa00982 Drug metabolism - cytochrome P450",0.815755069475111,-1.12239429728129,0.996779419189836,0.999999999971506,49,0.718702751738701,0.91402667155818,0.797156089169243,0.967589644673931,0.963032781312669,0.603913671748664
"hsa04360 Axon guidance",0.850856652453785,-1.20884339106848,0.998409119989091,0.999999999971506,110,0.738162954250828,0.958567369054505,0.913531416025451,0.763019084737494,0.975764119615466,0.788423886810963
"hsa04540 Gap junction",0.853241911667688,-1.26706646632882,0.998984900246726,0.999999999971506,84,0.706703151913257,0.986967059089537,0.878624165321558,0.909692917923116,0.95379216393842,0.725674206360583
"hsa04020 Calcium signaling pathway",0.917144544170783,-1.46333576009407,0.999824491884532,0.999999999971506,159,0.9655361893323,0.965996250221643,0.888033417974191,0.847240854905909,0.946427111412511,0.896105933601045
"hsa04270 Vascular smooth muscle contraction",0.895307836081113,-1.81774777543491,0.999994955672532,0.999999999971506,102,0.572874347672318,0.996345914425513,0.955892027308412,0.977157176091869,0.979755807837536,0.985992660155906
"hsa04510 Focal adhesion",0.731730244601873,-2.08665307903961,0.999999792859679,0.999999999971506,190,0.197582968878135,0.999158995616659,0.999982272354172,0.826862984046323,0.940607141616434,0.999741692070212
"hsa03010 Ribosome",0.673175500425486,-2.83268087492117,0.999999999971506,0.999999999971506,38,0.999986946009598,0.0940526513361478,0.994222837866251,0.999913194494632,0.995319374659279,0.999990664326953
"hsa00061 Fatty acid biosynthesis",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"hsa00072 Synthesis and degradation of ketone bodies",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"hsa00232 Caffeine metabolism",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
